split_tag,stage,slice_name,n_slice_positive,ibvs_component,activation_rate_on_slice_positive,ood_name
A,TEST,boundary_override_like,3,hierarchy_override,0.0,id
A,TEST,boundary_override_like,3,system_spoof,0.0,id
A,TEST,boundary_override_like,3,interaction_system_hierarchy_spoof_chain,0.0,id
A,TEST,boundary_override_like,3,high_specific_risk_anchor,0.0,id
A,TEST,boundary_override_like,3,tripwire_alert,0.0,id
A,TEST,boundary_override_like,3,harm_domain,0.0,id
A,TEST,boundary_override_like,3,evasion,0.0,id
A,TEST,harm_intent_like,7,hierarchy_override,0.0,id
A,TEST,harm_intent_like,7,system_spoof,0.0,id
A,TEST,harm_intent_like,7,interaction_system_hierarchy_spoof_chain,0.0,id
A,TEST,harm_intent_like,7,high_specific_risk_anchor,0.0,id
A,TEST,harm_intent_like,7,tripwire_alert,0.0,id
A,TEST,harm_intent_like,7,harm_domain,1.0,id
A,TEST,harm_intent_like,7,evasion,0.0,id
A,OOD,boundary_override_like,2,hierarchy_override,0.0,ood_test
A,OOD,boundary_override_like,2,system_spoof,0.0,ood_test
A,OOD,boundary_override_like,2,interaction_system_hierarchy_spoof_chain,0.0,ood_test
A,OOD,boundary_override_like,2,high_specific_risk_anchor,0.0,ood_test
A,OOD,boundary_override_like,2,tripwire_alert,0.0,ood_test
A,OOD,boundary_override_like,2,harm_domain,0.0,ood_test
A,OOD,boundary_override_like,2,evasion,0.5,ood_test
A,OOD,harm_intent_like,19,hierarchy_override,0.0,ood_test
A,OOD,harm_intent_like,19,system_spoof,0.0,ood_test
A,OOD,harm_intent_like,19,interaction_system_hierarchy_spoof_chain,0.0,ood_test
A,OOD,harm_intent_like,19,high_specific_risk_anchor,0.0,ood_test
A,OOD,harm_intent_like,19,tripwire_alert,0.0,ood_test
A,OOD,harm_intent_like,19,harm_domain,0.6842105263157895,ood_test
A,OOD,harm_intent_like,19,evasion,0.3157894736842105,ood_test
A,OOD,boundary_override_like,16,hierarchy_override,0.1875,ood_test_injection
A,OOD,boundary_override_like,16,system_spoof,0.0,ood_test_injection
A,OOD,boundary_override_like,16,interaction_system_hierarchy_spoof_chain,0.0,ood_test_injection
A,OOD,boundary_override_like,16,high_specific_risk_anchor,0.0,ood_test_injection
A,OOD,boundary_override_like,16,tripwire_alert,0.0,ood_test_injection
A,OOD,boundary_override_like,16,harm_domain,0.4375,ood_test_injection
A,OOD,boundary_override_like,16,evasion,0.0625,ood_test_injection
A,OOD,harm_intent_like,99,hierarchy_override,0.0,ood_test_injection
A,OOD,harm_intent_like,99,system_spoof,0.0,ood_test_injection
A,OOD,harm_intent_like,99,interaction_system_hierarchy_spoof_chain,0.0,ood_test_injection
A,OOD,harm_intent_like,99,high_specific_risk_anchor,0.0,ood_test_injection
A,OOD,harm_intent_like,99,tripwire_alert,0.0,ood_test_injection
A,OOD,harm_intent_like,99,harm_domain,0.9393939393939394,ood_test_injection
A,OOD,harm_intent_like,99,evasion,0.1212121212121212,ood_test_injection
A,OOD,boundary_override_like,375,hierarchy_override,0.4426666666666666,ood_test_injection_standard
A,OOD,boundary_override_like,375,system_spoof,0.0026666666666666,ood_test_injection_standard
A,OOD,boundary_override_like,375,interaction_system_hierarchy_spoof_chain,0.0,ood_test_injection_standard
A,OOD,boundary_override_like,375,high_specific_risk_anchor,0.0,ood_test_injection_standard
A,OOD,boundary_override_like,375,tripwire_alert,0.0026666666666666,ood_test_injection_standard
A,OOD,boundary_override_like,375,harm_domain,0.0186666666666666,ood_test_injection_standard
A,OOD,boundary_override_like,375,evasion,0.008,ood_test_injection_standard
A,OOD,harm_intent_like,61,hierarchy_override,0.0655737704918032,ood_test_injection_standard
A,OOD,harm_intent_like,61,system_spoof,0.0,ood_test_injection_standard
A,OOD,harm_intent_like,61,interaction_system_hierarchy_spoof_chain,0.0,ood_test_injection_standard
A,OOD,harm_intent_like,61,high_specific_risk_anchor,0.0163934426229508,ood_test_injection_standard
A,OOD,harm_intent_like,61,tripwire_alert,0.0327868852459016,ood_test_injection_standard
A,OOD,harm_intent_like,61,harm_domain,0.7213114754098361,ood_test_injection_standard
A,OOD,harm_intent_like,61,evasion,0.2950819672131147,ood_test_injection_standard
B,TEST,boundary_override_like,4,hierarchy_override,0.0,id
B,TEST,boundary_override_like,4,system_spoof,0.0,id
B,TEST,boundary_override_like,4,interaction_system_hierarchy_spoof_chain,0.0,id
B,TEST,boundary_override_like,4,high_specific_risk_anchor,0.0,id
B,TEST,boundary_override_like,4,tripwire_alert,0.0,id
B,TEST,boundary_override_like,4,harm_domain,0.0,id
B,TEST,boundary_override_like,4,evasion,0.0,id
B,TEST,harm_intent_like,7,hierarchy_override,0.0,id
B,TEST,harm_intent_like,7,system_spoof,0.0,id
B,TEST,harm_intent_like,7,interaction_system_hierarchy_spoof_chain,0.0,id
B,TEST,harm_intent_like,7,high_specific_risk_anchor,0.0,id
B,TEST,harm_intent_like,7,tripwire_alert,0.0,id
B,TEST,harm_intent_like,7,harm_domain,1.0,id
B,TEST,harm_intent_like,7,evasion,0.0,id
B,OOD,boundary_override_like,2,hierarchy_override,0.0,ood_test
B,OOD,boundary_override_like,2,system_spoof,0.0,ood_test
B,OOD,boundary_override_like,2,interaction_system_hierarchy_spoof_chain,0.0,ood_test
B,OOD,boundary_override_like,2,high_specific_risk_anchor,0.0,ood_test
B,OOD,boundary_override_like,2,tripwire_alert,0.0,ood_test
B,OOD,boundary_override_like,2,harm_domain,0.0,ood_test
B,OOD,boundary_override_like,2,evasion,0.5,ood_test
B,OOD,harm_intent_like,19,hierarchy_override,0.0,ood_test
B,OOD,harm_intent_like,19,system_spoof,0.0,ood_test
B,OOD,harm_intent_like,19,interaction_system_hierarchy_spoof_chain,0.0,ood_test
B,OOD,harm_intent_like,19,high_specific_risk_anchor,0.0,ood_test
B,OOD,harm_intent_like,19,tripwire_alert,0.0,ood_test
B,OOD,harm_intent_like,19,harm_domain,0.6842105263157895,ood_test
B,OOD,harm_intent_like,19,evasion,0.3157894736842105,ood_test
