family,split_tag,model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds,ood_name,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
ablation,A,M1_TFIDF_ONLY,OOD,0.6028645833333334,0.6003432843715183,0.7248579033821266,0.6815897623697916,0.1015625,0.2552083333333333,0.40625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.315; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.315,macro_f1,,,False,False,0.861072261072261,0.861072261072261,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,A,M1_TFIDF_ONLY,OOD,0.5807291666666666,0.5028306742151312,0.7248579033821266,0.6815897623697916,0.1015625,0.2552083333333333,0.40625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.965,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.861072261072261,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,36.0,ood_test,,,,,,,,,,,,,,,
ablation,A,M2_TFIDF_PLUS_FLAGS,OOD,0.6393229166666666,0.6235926925288627,0.7623520108166664,0.7491522894965278,0.125,0.296875,0.4010416666666667,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.249; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.249,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,A,M2_TFIDF_PLUS_FLAGS,OOD,0.63671875,0.6012676247666934,0.7623520108166664,0.7491522894965278,0.125,0.296875,0.4010416666666667,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.964,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8639269406392693,0.7053672316384181,0.05,0.6330275229357798,1.0,0.0,0.0,37.0,ood_test,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6458333333333334,0.6336597547630405,0.755727564832366,0.7391832139756944,0.1145833333333333,0.2864583333333333,0.4322916666666667,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.304; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.304,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6354166666666666,0.599496390550618,0.755727564832366,0.7391832139756944,0.1145833333333333,0.2864583333333333,0.4322916666666667,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.963,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7550290135396518,0.05,0.7064220183486238,1.0,0.0,0.0,38.0,ood_test,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.6354166666666666,0.6205533596837944,0.7575650400374749,0.7422417534722222,0.0677083333333333,0.3125,0.4140625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.879816342991872,0.879816342991872,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.6588541666666666,0.6380798894900426,0.7575650400374749,0.7422417534722222,0.0677083333333333,0.3125,0.4140625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.938; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.938,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.879816342991872,0.7932196669310071,0.05,0.7614678899082569,1.0,0.0,0.0,63.0,ood_test,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.6393229166666666,0.62400781903114,0.7562322674556278,0.7392035590277778,0.0859375,0.3020833333333333,0.4192708333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,,ood_test,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.66015625,0.6392218128542348,0.7562322674556278,0.7392035590277778,0.0859375,0.3020833333333333,0.4192708333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.94,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,1.0,0.0,0.0,61.0,ood_test,,,,,,,,,,,,,,,
