model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds
M1_TFIDF_ONLY,VAL,0.8926174496644296,0.861072261072261,0.9674260580576437,0.918348623853211,0.46788990825688076,0.5596330275229358,0.7522935779816514,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.315; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.315,macro_f1,,,False,False,0.861072261072261,0.861072261072261,,,,,,
M1_TFIDF_ONLY,TEST,0.8389261744966443,0.7713554987212277,0.9420807393664403,0.8791779584462511,0.1574074074074074,0.5092592592592593,0.5555555555555556,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.315; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.315,macro_f1,,,False,False,0.861072261072261,0.861072261072261,,,,,,
M1_TFIDF_ONLY,OOD,0.6028645833333334,0.6003432843715183,0.7248579033821266,0.6815897623697916,0.1015625,0.2552083333333333,0.40625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.315; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.315,macro_f1,,,False,False,0.861072261072261,0.861072261072261,,,,,,
M1_TFIDF_ONLY,VAL,0.6577181208053692,0.650089791407653,0.9674260580576437,0.918348623853211,0.46788990825688076,0.5596330275229358,0.7522935779816514,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.965,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.861072261072261,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,36.0
M1_TFIDF_ONLY,TEST,0.6442953020134228,0.6348208092485549,0.9420807393664403,0.8791779584462511,0.1574074074074074,0.5092592592592593,0.5555555555555556,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.965,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.861072261072261,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,36.0
M1_TFIDF_ONLY,OOD,0.5807291666666666,0.5028306742151312,0.7248579033821266,0.6815897623697916,0.1015625,0.2552083333333333,0.40625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.965,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.861072261072261,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,36.0
M2_TFIDF_PLUS_FLAGS,VAL,0.8993288590604027,0.8639269406392693,0.9603114965624967,0.9259174311926607,0.10091743119266056,0.6330275229357798,0.7889908256880734,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.249; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.249,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,
M2_TFIDF_PLUS_FLAGS,TEST,0.8322147651006712,0.7423393511793595,0.9478904675481195,0.901535682023487,0.12962962962962962,0.4537037037037037,0.6944444444444444,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.249; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.249,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,
M2_TFIDF_PLUS_FLAGS,OOD,0.6393229166666666,0.6235926925288627,0.7623520108166664,0.7491522894965278,0.125,0.296875,0.4010416666666667,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.249; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.249,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,
M2_TFIDF_PLUS_FLAGS,VAL,0.7181208053691275,0.7053672316384181,0.9603114965624967,0.9259174311926607,0.10091743119266056,0.6330275229357798,0.7889908256880734,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.964,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8639269406392693,0.7053672316384181,0.05,0.6330275229357798,1.0,0.0,0.0,37.0
M2_TFIDF_PLUS_FLAGS,TEST,0.7046979865771812,0.6913370998116761,0.9478904675481195,0.901535682023487,0.12962962962962962,0.4537037037037037,0.6944444444444444,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.964,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8639269406392693,0.7053672316384181,0.05,0.6330275229357798,1.0,0.0,0.0,37.0
