model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds
M1_TFIDF_ONLY,VAL,0.8993288590604027,0.8747548332866348,0.9406238545936882,0.9021002710027101,0.027777777777777776,0.5462962962962963,0.6203703703703703,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.415; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.41500000000000004,macro_f1,,,False,False,0.8747548332866348,0.8747548332866348,,,,,,
M1_TFIDF_ONLY,TEST,0.8523489932885906,0.8120412844036697,0.9609955337878905,0.8970183486238532,0.5412844036697247,0.6146788990825688,0.6972477064220184,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.415; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.41500000000000004,macro_f1,,,False,False,0.8747548332866348,0.8747548332866348,,,,,,
M1_TFIDF_ONLY,OOD,0.6315104166666666,0.6314048045043288,0.7283155407921191,0.6783616807725694,0.15885416666666666,0.3098958333333333,0.4166666666666667,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.415; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.41500000000000004,macro_f1,,,False,False,0.8747548332866348,0.8747548332866348,,,,,,
M1_TFIDF_ONLY,VAL,0.6510067114093959,0.6464037970062066,0.9406238545936882,0.9021002710027101,0.027777777777777776,0.5462962962962963,0.6203703703703703,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.959; target_fpr=0.05; val_fpr=0.024; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9590000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8747548332866348,0.6464037970062066,0.024390243902439025,0.5277777777777778,1.0,-0.025609756097560978,0.0,45.0
M1_TFIDF_ONLY,TEST,0.6308724832214765,0.6275846398545785,0.9609955337878905,0.8970183486238532,0.5412844036697247,0.6146788990825688,0.6972477064220184,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.959; target_fpr=0.05; val_fpr=0.024; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9590000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8747548332866348,0.6464037970062066,0.024390243902439025,0.5277777777777778,1.0,-0.025609756097560978,0.0,45.0
M1_TFIDF_ONLY,OOD,0.6002604166666666,0.5310730530490315,0.7283155407921191,0.6783616807725694,0.15885416666666666,0.3098958333333333,0.4166666666666667,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.959; target_fpr=0.05; val_fpr=0.024; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9590000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8747548332866348,0.6464037970062066,0.024390243902439025,0.5277777777777778,1.0,-0.025609756097560978,0.0,45.0
M2_TFIDF_PLUS_FLAGS,VAL,0.9060402684563759,0.8839563862928349,0.9430409714424957,0.9157633242999097,0.027777777777777776,0.49074074074074076,0.7592592592592593,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.640; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.64,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M2_TFIDF_PLUS_FLAGS,TEST,0.8389261744966443,0.8038613426941641,0.9659187000505911,0.9119266055045872,0.44954128440366975,0.6422018348623854,0.7981651376146789,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.640; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.64,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M2_TFIDF_PLUS_FLAGS,OOD,0.6861979166666666,0.6861931283538059,0.7470846537527296,0.7302313910590277,0.1015625,0.2760416666666667,0.3958333333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.640; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.64,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M2_TFIDF_PLUS_FLAGS,VAL,0.610738255033557,0.6077523602033406,0.9430409714424957,0.9157633242999097,0.027777777777777776,0.49074074074074076,0.7592592592592593,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.983; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.983,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6077523602033406,0.04878048780487805,0.48148148148148145,1.0,-0.0012195121951219523,0.0,18.0
M2_TFIDF_PLUS_FLAGS,TEST,0.5906040268456376,0.5887516401972761,0.9659187000505911,0.9119266055045872,0.44954128440366975,0.6422018348623854,0.7981651376146789,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.983; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.983,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6077523602033406,0.04878048780487805,0.48148148148148145,1.0,-0.0012195121951219523,0.0,18.0
M2_TFIDF_PLUS_FLAGS,OOD,0.59765625,0.5344404445447144,0.7470846537527296,0.7302313910590277,0.1015625,0.2760416666666667,0.3958333333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.983; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.983,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6077523602033406,0.04878048780487805,0.48148148148148145,1.0,-0.0012195121951219523,0.0,18.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,VAL,0.9194630872483222,0.8990514905149052,0.9381580550903847,0.9202800361336947,0.009259259259259259,0.37962962962962965,0.8055555555555556,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.665; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.665,macro_f1,,,False,False,0.8990514905149052,0.8990514905149052,,,,,,
