model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds
M1_TFIDF_ONLY,VAL,0.8791946308724832,0.8508010680907877,0.9485527139602689,0.8986238532110092,0.14678899082568808,0.3853211009174312,0.8073394495412844,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.600; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.6,macro_f1,,,False,False,0.8508010680907877,0.8508010680907877,,,,,,
M1_TFIDF_ONLY,TEST,0.8590604026845637,0.8317832374603515,0.9582649728571265,0.9105691056910569,0.12962962962962962,0.75,0.7777777777777778,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.600; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.6,macro_f1,,,False,False,0.8508010680907877,0.8508010680907877,,,,,,
M1_TFIDF_ONLY,OOD,0.6354166666666666,0.6349983365809609,0.6991917205457198,0.6581319173177084,0.07291666666666667,0.2682291666666667,0.3802083333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.600; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.6,macro_f1,,,False,False,0.8508010680907877,0.8508010680907877,,,,,,
M1_TFIDF_ONLY,VAL,0.5302013422818792,0.5300108147080029,0.9485527139602689,0.8986238532110092,0.14678899082568808,0.3853211009174312,0.8073394495412844,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.983; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.983,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8508010680907877,0.5300108147080029,0.05,0.3761467889908257,1.0,0.0,0.0,18.0
M1_TFIDF_ONLY,TEST,0.5234899328859061,0.5234040636121999,0.9582649728571265,0.9105691056910569,0.12962962962962962,0.75,0.7777777777777778,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.983; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.983,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8508010680907877,0.5300108147080029,0.05,0.3761467889908257,1.0,0.0,0.0,18.0
M1_TFIDF_ONLY,OOD,0.5533854166666666,0.4544901065449011,0.6991917205457198,0.6581319173177084,0.07291666666666667,0.2682291666666667,0.3802083333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.983; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.983,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8508010680907877,0.5300108147080029,0.05,0.3761467889908257,1.0,0.0,0.0,18.0
M2_TFIDF_PLUS_FLAGS,VAL,0.8993288590604027,0.8613265496060061,0.9531731251214297,0.9162844036697247,0.07339449541284404,0.5688073394495413,0.7706422018348624,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.176; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.176,macro_f1,,,False,False,0.8613265496060061,0.8613265496060061,,,,,,
M2_TFIDF_PLUS_FLAGS,TEST,0.8791946308724832,0.8351769911504425,0.9753160085958622,0.9467028003613369,0.26851851851851855,0.8148148148148148,0.8981481481481481,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.176; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.176,macro_f1,,,False,False,0.8613265496060061,0.8613265496060061,,,,,,
M2_TFIDF_PLUS_FLAGS,OOD,0.6184895833333334,0.5985893257555082,0.7517265670256772,0.7377251519097223,0.10416666666666667,0.2421875,0.4010416666666667,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.176; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.176,macro_f1,,,False,False,0.8613265496060061,0.8613265496060061,,,,,,
M2_TFIDF_PLUS_FLAGS,VAL,0.6711409395973155,0.6623815028901734,0.9531731251214297,0.9162844036697247,0.07339449541284404,0.5688073394495413,0.7706422018348624,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.969; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.969,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8613265496060061,0.6623815028901734,0.05,0.5688073394495413,1.0,0.0,0.0,32.0
M2_TFIDF_PLUS_FLAGS,TEST,0.6510067114093959,0.6464037970062066,0.9753160085958622,0.9467028003613369,0.26851851851851855,0.8148148148148148,0.8981481481481481,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.969; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.969,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8613265496060061,0.6623815028901734,0.05,0.5688073394495413,1.0,0.0,0.0,32.0
M2_TFIDF_PLUS_FLAGS,OOD,0.60546875,0.5530552861299709,0.7517265670256772,0.7377251519097223,0.10416666666666667,0.2421875,0.4010416666666667,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.969; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.969,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8613265496060061,0.6623815028901734,0.05,0.5688073394495413,1.0,0.0,0.0,32.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,VAL,0.9060402684563759,0.8803899082568807,0.9645087220064991,0.9396788990825689,0.08256880733944955,0.7798165137614679,0.8348623853211009,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.523; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.523,macro_f1,,,False,False,0.8803899082568807,0.8803899082568807,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,TEST,0.8859060402684564,0.8580554777248529,0.9766123286553324,0.9444444444444444,0.3611111111111111,0.7962962962962963,0.8425925925925926,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.523; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.523,macro_f1,,,False,False,0.8803899082568807,0.8803899082568807,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6666666666666666,0.6653594771241831,0.7406577824547589,0.71673583984375,0.078125,0.296875,0.3723958333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.523; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.523,macro_f1,,,False,False,0.8803899082568807,0.8803899082568807,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,VAL,0.825503355704698,0.8062224889955982,0.9645087220064991,0.9396788990825689,0.08256880733944955,0.7798165137614679,0.8348623853211009,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.915; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.915,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8803899082568807,0.8062224889955982,0.05,0.7798165137614679,1.0,0.0,0.0,86.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,TEST,0.7651006711409396,0.7521976716559753,0.9766123286553324,0.9444444444444444,0.3611111111111111,0.7962962962962963,0.8425925925925926,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.915; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.915,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8803899082568807,0.8062224889955982,0.05,0.7798165137614679,1.0,0.0,0.0,86.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6510416666666666,0.6312323073064106,0.7406577824547589,0.71673583984375,0.078125,0.296875,0.3723958333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.915; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.915,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8803899082568807,0.8062224889955982,0.05,0.7798165137614679,1.0,0.0,0.0,86.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,VAL,0.8993288590604027,0.8639269406392693,0.9488192543580982,0.9135321100917432,0.045871559633027525,0.5504587155963303,0.7706422018348624,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.244; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.244,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,TEST,0.8859060402684564,0.8457838660578386,0.9703085359960912,0.9401535682023487,0.17592592592592593,0.7870370370370371,0.8425925925925926,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.244; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.244,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.6419270833333334,0.6305102003327507,0.7479140533986457,0.7323235405815973,0.08333333333333333,0.2578125,0.390625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.244; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.244,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,VAL,0.6577181208053692,0.650089791407653,0.9488192543580982,0.9135321100917432,0.045871559633027525,0.5504587155963303,0.7706422018348624,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.972; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.972,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8639269406392693,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,29.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,TEST,0.6174496644295302,0.6149521693793354,0.9703085359960912,0.9401535682023487,0.17592592592592593,0.7870370370370371,0.8425925925925926,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.972; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.972,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8639269406392693,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,29.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.5950520833333334,0.5334845102278787,0.7479140533986457,0.7323235405815973,0.08333333333333333,0.2578125,0.390625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.972; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.972,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8639269406392693,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,29.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,VAL,0.8993288590604027,0.8613265496060061,0.9462765284635762,0.9126146788990825,0.03669724770642202,0.6513761467889908,0.7247706422018348,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.174; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.17400000000000002,macro_f1,,,False,False,0.8613265496060061,0.8613265496060061,,,,,,
