model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,hybrid_variant,tau_low,tau_high,score_definition,ibvs_boost_alpha,ibvs_high_precision_rule,tuning_source,fusion_margin,fusion_alpha,ibvs_gate_definition,calibration_method,m3_val_t_star,m3_threshold_mode,m3_val_macro_f1_best,m3_val_macro_f1_at_t_star,m3_val_fpr_at_t_star,m3_val_tpr_at_t_star,m3_val_fpr_constraint_satisfied
HYBRID_SEM_GATE_ELSE_M3_IBVS_V2,VAL (HYBRID),0.912751677852349,0.8944816691180476,0.9203788602342344,0.8786697247706423,0.09174311926605505,0.13761467889908258,0.45871559633027525,0.7718120805369127,0.22818791946308725,"variant=baseline; tau=(0.30,0.70); fallback=M3+IBVSv2; m3_t*=0.940; m3_mode=low_fpr_enforced_macro_best; m3_val_fpr=0.050; score=hybrid_score(p_sem_outside,p_m3_inside_uncertain); tuning=id_val_only",deployment_threshold,baseline,0.3,0.7,p_sem outside uncertain; p_m3 inside uncertain,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_GATE_ELSE_M3_IBVS_V2,TEST (HYBRID),0.87248322147651,0.8478038815117467,0.9137189265901611,0.8764679313459801,0.027777777777777776,0.1388888888888889,0.7222222222222222,0.7583892617449665,0.24161073825503357,"variant=baseline; tau=(0.30,0.70); fallback=M3+IBVSv2; m3_t*=0.940; m3_mode=low_fpr_enforced_macro_best; m3_val_fpr=0.050; score=hybrid_score(p_sem_outside,p_m3_inside_uncertain); tuning=id_val_only",deployment_threshold,baseline,0.3,0.7,p_sem outside uncertain; p_m3 inside uncertain,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_GATE_ELSE_M3_IBVS_V2,OOD (HYBRID),0.73046875,0.7236079647694733,0.7186394966489928,0.722683376736111,0.09635416666666667,0.171875,0.2734375,0.37890625,0.62109375,"variant=baseline; tau=(0.30,0.70); fallback=M3+IBVSv2; m3_t*=0.940; m3_mode=low_fpr_enforced_macro_best; m3_val_fpr=0.050; score=hybrid_score(p_sem_outside,p_m3_inside_uncertain); tuning=id_val_only",deployment_threshold,baseline,0.3,0.7,p_sem outside uncertain; p_m3 inside uncertain,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_ANCHORED_IBVS_BOOST,VAL (HYBRID),0.9261744966442953,0.9094725214029273,0.9773531290822051,0.9477064220183486,0.3302752293577982,0.8532110091743119,0.8715596330275229,0.8993288590604027,0.10067114093959731,"variant=anchored_ibvs_boost; tau=(0.40,0.60); alpha=0.25; fallback=M3+IBVSv2; m3_t*=0.940; m3_val_fpr=0.050; gate=tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0); tuning=id_val_only",deployment_threshold,anchored_ibvs_boost,0.4,0.6,p_sem globally; uncertain boosted toward p_m3 where legacy ibvs gate and delta>0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_ANCHORED_IBVS_BOOST,TEST (HYBRID),0.8657718120805369,0.8387445887445888,0.9713014409491426,0.9232158988256548,0.6296296296296297,0.6574074074074074,0.8425925925925926,0.9194630872483222,0.08053691275167785,"variant=anchored_ibvs_boost; tau=(0.40,0.60); alpha=0.25; fallback=M3+IBVSv2; m3_t*=0.940; m3_val_fpr=0.050; gate=tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0); tuning=id_val_only",deployment_threshold,anchored_ibvs_boost,0.4,0.6,p_sem globally; uncertain boosted toward p_m3 where legacy ibvs gate and delta>0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_ANCHORED_IBVS_BOOST,OOD (HYBRID),0.7356770833333334,0.7328503400544567,0.8289582573644597,0.8294474283854167,0.18229166666666666,0.3984375,0.5,0.6692708333333333,0.3307291666666667,"variant=anchored_ibvs_boost; tau=(0.40,0.60); alpha=0.25; fallback=M3+IBVSv2; m3_t*=0.940; m3_val_fpr=0.050; gate=tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0); tuning=id_val_only",deployment_threshold,anchored_ibvs_boost,0.4,0.6,p_sem globally; uncertain boosted toward p_m3 where legacy ibvs gate and delta>0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_ANCHORED_IBVS_BOOST_V2,VAL (HYBRID),0.9261744966442953,0.9094725214029273,0.9773531290822051,0.9477064220183486,0.3302752293577982,0.8532110091743119,0.8715596330275229,0.8993288590604027,0.10067114093959731,"variant=anchored_ibvs_boost_v2; tau=(0.40,0.60); alpha=0.25; margin=0.00; calibration=none; fallback=M3+IBVSv2; m3_t*=0.940; m3_val_fpr=0.050; gate=high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero; tuning=id_val_only",deployment_threshold,anchored_ibvs_boost_v2,0.4,0.6,p_sem_cal globally; uncertain boosted with relu(delta-margin) on high-specific ibvs gate,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,id_val_only,0.0,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_ANCHORED_IBVS_BOOST_V2,TEST (HYBRID),0.8657718120805369,0.8387445887445888,0.9713014409491426,0.9232158988256548,0.6296296296296297,0.6574074074074074,0.8425925925925926,0.9194630872483222,0.08053691275167785,"variant=anchored_ibvs_boost_v2; tau=(0.40,0.60); alpha=0.25; margin=0.00; calibration=none; fallback=M3+IBVSv2; m3_t*=0.940; m3_val_fpr=0.050; gate=high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero; tuning=id_val_only",deployment_threshold,anchored_ibvs_boost_v2,0.4,0.6,p_sem_cal globally; uncertain boosted with relu(delta-margin) on high-specific ibvs gate,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,id_val_only,0.0,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_ANCHORED_IBVS_BOOST_V2,OOD (HYBRID),0.7356770833333334,0.7328503400544567,0.8289582573644597,0.8294474283854167,0.18229166666666666,0.3984375,0.5,0.6692708333333333,0.3307291666666667,"variant=anchored_ibvs_boost_v2; tau=(0.40,0.60); alpha=0.25; margin=0.00; calibration=none; fallback=M3+IBVSv2; m3_t*=0.940; m3_val_fpr=0.050; gate=high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero; tuning=id_val_only",deployment_threshold,anchored_ibvs_boost_v2,0.4,0.6,p_sem_cal globally; uncertain boosted with relu(delta-margin) on high-specific ibvs gate,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,id_val_only,0.0,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
HYBRID_SEM_ANCHORED_IBVS_VETO,VAL (HYBRID),0.9060402684563759,0.8763632053105737,0.9773531290822051,0.9477064220183486,0.3302752293577982,0.8532110091743119,0.8715596330275229,1.0,0.0,"variant=anchored_ibvs_veto_v1; tau=(0.25,0.60); alpha=0.25; veto_margin=0.00; calibration=none; fallback=M3+IBVSv2; m3_t*=0.940; sem_t*=0.392; m3_val_fpr=0.050; gate=high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero; tuning=id_val_only",deployment_threshold,anchored_ibvs_veto_v1,0.25,0.6,semantic-anchored uncertain routing; M3 veto-to-block only on high-specific IBVS gate + confidence margin,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,id_val_only,0.0,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,none,0.9400000000000001,low_fpr_enforced_macro_best,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,True
