model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,hybrid_variant,tau_low,tau_high,score_definition,ibvs_boost_alpha,ibvs_high_precision_rule,tuning_source,fusion_margin,fusion_alpha,ibvs_gate_definition,calibration_method,m3_val_t_star,m3_threshold_mode,m3_val_macro_f1_best,m3_val_macro_f1_at_t_star,m3_val_fpr_at_t_star,m3_val_tpr_at_t_star,m3_val_fpr_constraint_satisfied
HYBRID_SEM_GATE_ELSE_M3_IBVS_V2,VAL (HYBRID),0.8926174496644296,0.8756779307467668,0.8744287883303083,0.8773712737127372,0.0,0.027777777777777776,0.23148148148148148,0.8389261744966443,0.1610738255033557,"variant=baseline; tau=(0.30,0.70); fallback=M3+IBVSv2; m3_t*=0.982; m3_mode=low_fpr_enforced_macro_best; m3_val_fpr=0.049; score=hybrid_score(p_sem_outside,p_m3_inside_uncertain); tuning=id_val_only",deployment_threshold,baseline,0.3,0.7,p_sem outside uncertain; p_m3 inside uncertain,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_GATE_ELSE_M3_IBVS_V2,TEST (HYBRID),0.825503355704698,0.8062224889955982,0.9249434760700617,0.8736238532110092,0.11009174311926606,0.21100917431192662,0.5779816513761468,0.6711409395973154,0.3288590604026846,"variant=baseline; tau=(0.30,0.70); fallback=M3+IBVSv2; m3_t*=0.982; m3_mode=low_fpr_enforced_macro_best; m3_val_fpr=0.049; score=hybrid_score(p_sem_outside,p_m3_inside_uncertain); tuning=id_val_only",deployment_threshold,baseline,0.3,0.7,p_sem outside uncertain; p_m3 inside uncertain,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_GATE_ELSE_M3_IBVS_V2,OOD (HYBRID),0.6822916666666666,0.6596709164214885,0.7117774026116614,0.7106967502170138,0.06510416666666667,0.1875,0.2760416666666667,0.39322916666666663,0.6067708333333334,"variant=baseline; tau=(0.30,0.70); fallback=M3+IBVSv2; m3_t*=0.982; m3_mode=low_fpr_enforced_macro_best; m3_val_fpr=0.049; score=hybrid_score(p_sem_outside,p_m3_inside_uncertain); tuning=id_val_only",deployment_threshold,baseline,0.3,0.7,p_sem outside uncertain; p_m3 inside uncertain,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.0,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_ANCHORED_IBVS_BOOST,VAL (HYBRID),0.9194630872483222,0.9044871794871795,0.9931759273200435,0.9803523035230353,0.8888888888888888,0.9259259259259259,0.9537037037037037,0.9060402684563759,0.09395973154362416,"variant=anchored_ibvs_boost; tau=(0.40,0.60); alpha=0.25; fallback=M3+IBVSv2; m3_t*=0.982; m3_val_fpr=0.049; gate=tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0); tuning=id_val_only",deployment_threshold,anchored_ibvs_boost,0.4,0.6,p_sem globally; uncertain boosted toward p_m3 where legacy ibvs gate and delta>0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_ANCHORED_IBVS_BOOST,TEST (HYBRID),0.8590604026845637,0.8317832374603515,0.9677190100371713,0.9204128440366972,0.3669724770642202,0.7706422018348624,0.8165137614678899,0.9194630872483222,0.08053691275167785,"variant=anchored_ibvs_boost; tau=(0.40,0.60); alpha=0.25; fallback=M3+IBVSv2; m3_t*=0.982; m3_val_fpr=0.049; gate=tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0); tuning=id_val_only",deployment_threshold,anchored_ibvs_boost,0.4,0.6,p_sem globally; uncertain boosted toward p_m3 where legacy ibvs gate and delta>0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_ANCHORED_IBVS_BOOST,OOD (HYBRID),0.7174479166666666,0.7075918118127602,0.8234672894197381,0.8194037543402777,0.17447916666666666,0.40625,0.5182291666666666,0.6705729166666667,0.3294270833333333,"variant=anchored_ibvs_boost; tau=(0.40,0.60); alpha=0.25; fallback=M3+IBVSv2; m3_t*=0.982; m3_val_fpr=0.049; gate=tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0); tuning=id_val_only",deployment_threshold,anchored_ibvs_boost,0.4,0.6,p_sem globally; uncertain boosted toward p_m3 where legacy ibvs gate and delta>0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),id_val_only,0.0,0.25,tripwire_alert>0 OR interaction_system_hierarchy_spoof_chain>0 OR (hierarchy_override>0 AND system_spoof>0),none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_ANCHORED_IBVS_BOOST_V2,VAL (HYBRID),0.9194630872483222,0.9044871794871795,0.9931759273200435,0.9803523035230353,0.8888888888888888,0.9259259259259259,0.9537037037037037,0.9060402684563759,0.09395973154362416,"variant=anchored_ibvs_boost_v2; tau=(0.40,0.60); alpha=0.25; margin=0.00; calibration=none; fallback=M3+IBVSv2; m3_t*=0.982; m3_val_fpr=0.049; gate=high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero; tuning=id_val_only",deployment_threshold,anchored_ibvs_boost_v2,0.4,0.6,p_sem_cal globally; uncertain boosted with relu(delta-margin) on high-specific ibvs gate,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,id_val_only,0.0,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_ANCHORED_IBVS_BOOST_V2,TEST (HYBRID),0.8590604026845637,0.8317832374603515,0.9677190100371713,0.9204128440366972,0.3669724770642202,0.7706422018348624,0.8165137614678899,0.9194630872483222,0.08053691275167785,"variant=anchored_ibvs_boost_v2; tau=(0.40,0.60); alpha=0.25; margin=0.00; calibration=none; fallback=M3+IBVSv2; m3_t*=0.982; m3_val_fpr=0.049; gate=high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero; tuning=id_val_only",deployment_threshold,anchored_ibvs_boost_v2,0.4,0.6,p_sem_cal globally; uncertain boosted with relu(delta-margin) on high-specific ibvs gate,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,id_val_only,0.0,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_ANCHORED_IBVS_BOOST_V2,OOD (HYBRID),0.7174479166666666,0.7075918118127602,0.8234672894197381,0.8194037543402777,0.17447916666666666,0.40625,0.5182291666666666,0.6705729166666667,0.3294270833333333,"variant=anchored_ibvs_boost_v2; tau=(0.40,0.60); alpha=0.25; margin=0.00; calibration=none; fallback=M3+IBVSv2; m3_t*=0.982; m3_val_fpr=0.049; gate=high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero; tuning=id_val_only",deployment_threshold,anchored_ibvs_boost_v2,0.4,0.6,p_sem_cal globally; uncertain boosted with relu(delta-margin) on high-specific ibvs gate,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,id_val_only,0.0,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
HYBRID_SEM_ANCHORED_IBVS_VETO,VAL (HYBRID),0.9395973154362416,0.924852899971981,0.9931759273200435,0.9803523035230353,0.8888888888888888,0.9259259259259259,0.9537037037037037,1.0,0.0,"variant=anchored_ibvs_veto_v1; tau=(0.25,0.60); alpha=0.25; veto_margin=0.00; calibration=none; fallback=M3+IBVSv2; m3_t*=0.982; sem_t*=0.451; m3_val_fpr=0.049; gate=high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero; tuning=id_val_only",deployment_threshold,anchored_ibvs_veto_v1,0.25,0.6,semantic-anchored uncertain routing; M3 veto-to-block only on high-specific IBVS gate + confidence margin,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,id_val_only,0.0,0.25,high_specific_risk_anchor>0 OR interaction_harm_evasion>0 OR (harm_domain>0 AND evasion>0) AND benign/meta suppressors are zero,none,0.982,low_fpr_enforced_macro_best,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,True
