split_tag,eval_track,experiment,model,split,ood_name,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_val_fpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,m3_val_t_star,m3_threshold_mode,m3_val_fpr_at_t_star,m3_val_fpr_constraint_satisfied,hybrid_variant,tau_low,tau_high,score_definition,ibvs_boost_alpha,ibvs_high_precision_rule,tuning_source,fusion_margin,fusion_alpha,ibvs_gate_definition,calibration_method,source_file,threshold_policy,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,m3_val_macro_f1_best,m3_val_macro_f1_at_t_star,m3_val_tpr_at_t_star,repeatability_n_splits,macro_f1_repeat_mean,macro_f1_repeat_std,macro_f1_repeat_ci95_low,macro_f1_repeat_ci95_high,tpr_at_1pct_fpr_repeat_mean,tpr_at_1pct_fpr_repeat_std,tpr_at_1pct_fpr_repeat_ci95_low,tpr_at_1pct_fpr_repeat_ci95_high,tpr_at_5pct_fpr_repeat_mean,tpr_at_5pct_fpr_repeat_std,tpr_at_5pct_fpr_repeat_ci95_low,tpr_at_5pct_fpr_repeat_ci95_high,tpr_at_10pct_fpr_repeat_mean,tpr_at_10pct_fpr_repeat_std,tpr_at_10pct_fpr_repeat_ci95_low,tpr_at_10pct_fpr_repeat_ci95_high
A,deployment_threshold,ablation,M1_TFIDF_ONLY,VAL,id,0.6577,0.6501,0.9674,0.9183,0.4679,0.5596,0.7523,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.965,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.861072261072261,0.650089791407653,0.5504587155963303,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,deployment_threshold,ablation,M1_TFIDF_ONLY,TEST,id,0.6443,0.6348,0.9421,0.8792,0.1574,0.5093,0.5556,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.965,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.861072261072261,0.650089791407653,0.5504587155963303,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,deployment_threshold,ablation,M1_TFIDF_ONLY,OOD,ood_test,0.5807,0.5028,0.7249,0.6816,0.1016,0.2552,0.4062,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.965,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.861072261072261,0.650089791407653,0.5504587155963303,0.0,36.0,,,,,,,,,,,,,,,,,,,3.0,0.4961,0.0387,0.4523,0.54,0.1111,0.0438,0.0616,0.1607,0.2778,0.0286,0.2454,0.3101,0.401,0.0188,0.3798,0.4223
A,deployment_threshold,ablation,M1_TFIDF_ONLY,OOD,ood_test_injection,0.8643,0.8643,0.9282,0.9379,0.3333,0.6549,0.8289,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.965,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA__ood-ood_test_injection.csv,low_fpr_enforced,True,True,0.861072261072261,0.650089791407653,0.5504587155963303,0.0,36.0,,,,,,,,,,,,,,,,,,,3.0,0.8082,0.0563,0.7445,0.8719,0.232,0.0912,0.1288,0.3353,0.5447,0.1008,0.4307,0.6588,0.7522,0.0782,0.6638,0.8407
A,deployment_threshold,ablation,M1_TFIDF_ONLY,OOD,ood_test_injection_standard,0.6889,0.686,0.6895,0.7409,0.0251,0.139,0.2755,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.965,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA__ood-ood_test_injection_standard.csv,low_fpr_enforced,True,True,0.861072261072261,0.650089791407653,0.5504587155963303,0.0,36.0,,,,,,,,,,,,,,,,,,,3.0,0.6728,0.0241,0.6455,0.7001,0.0383,0.0115,0.0253,0.0513,0.1547,0.0151,0.1376,0.1718,0.2771,0.0171,0.2578,0.2965
A,deployment_threshold,ablation,M2_TFIDF_PLUS_FLAGS,VAL,id,0.7181,0.7054,0.9603,0.9259,0.1009,0.633,0.789,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.964,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8639269406392693,0.7053672316384181,0.6330275229357798,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,deployment_threshold,ablation,M2_TFIDF_PLUS_FLAGS,TEST,id,0.7047,0.6913,0.9479,0.9015,0.1296,0.4537,0.6944,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.964,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8639269406392693,0.7053672316384181,0.6330275229357798,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,deployment_threshold,ablation,M2_TFIDF_PLUS_FLAGS,OOD,ood_test,0.6367,0.6013,0.7624,0.7492,0.125,0.2969,0.401,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.964,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8639269406392693,0.7053672316384181,0.6330275229357798,0.0,37.0,,,,,,,,,,,,,,,,,,,3.0,0.5629,0.0345,0.5239,0.602,0.1103,0.0128,0.0958,0.1248,0.2717,0.0276,0.2405,0.3029,0.3993,0.003,0.3959,0.4027
A,deployment_threshold,ablation,M2_TFIDF_PLUS_FLAGS,OOD,ood_test_injection,0.7463,0.7452,0.7047,0.7934,0.0118,0.0767,0.236,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.964,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA__ood-ood_test_injection.csv,low_fpr_enforced,True,True,0.8639269406392693,0.7053672316384181,0.6330275229357798,0.0,37.0,,,,,,,,,,,,,,,,,,,3.0,0.6213,0.1578,0.4428,0.7998,0.0108,0.0045,0.0057,0.0159,0.0472,0.0348,0.0078,0.0865,0.1426,0.093,0.0374,0.2478
A,deployment_threshold,ablation,M2_TFIDF_PLUS_FLAGS,OOD,ood_test_injection_standard,0.6332,0.6305,0.6127,0.6698,0.013,0.0793,0.1711,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.964,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA__ood-ood_test_injection_standard.csv,low_fpr_enforced,True,True,0.8639269406392693,0.7053672316384181,0.6330275229357798,0.0,37.0,,,,,,,,,,,,,,,,,,,3.0,0.5886,0.052,0.5298,0.6474,0.0132,0.0033,0.0095,0.0169,0.0848,0.0185,0.0639,0.1057,0.1793,0.0215,0.155,0.2036
